"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUDPERTEACHER","PRY","RT","A","2013",14.844,
"AUS","STUDPERTEACHER","PRY","RT","A","2014",15.612,
"AUS","STUDPERTEACHER","PRY","RT","A","2015",15.433,
"AUS","STUDPERTEACHER","PRY","RT","A","2016",15.168,
"AUS","STUDPERTEACHER","PRY","RT","A","2017",15.124,
"AUS","STUDPERTEACHER","PRY","RT","A","2018",14.926,
"AUS","STUDPERTEACHER","PRY","RT","A","2019",15.142,
"AUS","STUDPERTEACHER","PRY","RT","A","2020",14.844,
"AUT","STUDPERTEACHER","PRY","RT","A","2013",11.919,
"AUT","STUDPERTEACHER","PRY","RT","A","2014",11.95,
"AUT","STUDPERTEACHER","PRY","RT","A","2015",11.843,
"AUT","STUDPERTEACHER","PRY","RT","A","2016",11.628,
"AUT","STUDPERTEACHER","PRY","RT","A","2017",11.267,
"AUT","STUDPERTEACHER","PRY","RT","A","2018",11.55,
"AUT","STUDPERTEACHER","PRY","RT","A","2019",11.983,
"AUT","STUDPERTEACHER","PRY","RT","A","2020",12.15,
"AUT","STUDPERTEACHER","TRY","RT","A","2013",14.999,
"AUT","STUDPERTEACHER","TRY","RT","A","2014",14.69,
"AUT","STUDPERTEACHER","TRY","RT","A","2015",14.35,
"AUT","STUDPERTEACHER","TRY","RT","A","2016",14.351,
"AUT","STUDPERTEACHER","TRY","RT","A","2017",14.04,
"AUT","STUDPERTEACHER","TRY","RT","A","2018",13.767,
"AUT","STUDPERTEACHER","TRY","RT","A","2019",13.452,
"AUT","STUDPERTEACHER","TRY","RT","A","2020",14.222,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2013",12.798,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2014",12.926,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2015",12.537,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2016",12.346,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2017",12.709,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2018",12.541,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2019",11.999,
"AUT","STUDPERTEACHER","EARLYCHILDEDU","RT","A","2020",12.125,
"AUT","STUDPERTEACHER","SRY","RT","A","2013",9.356,
"AUT","STUDPERTEACHER","SRY","RT","A","2014",9.308,
"AUT","STUDPERTEACHER","SRY","RT","A","2015",9.31,
"AUT","STUDPERTEACHER","SRY","RT","A","2016",9.226,
"AUT","STUDPERTEACHER","SRY","RT","A","2017",9.174,
"AUT","STUDPERTEACHER","SRY","RT","A","2018",9.128,
"AUT","STUDPERTEACHER","SRY","RT","A","2019",9.155,
"AUT","STUDPERTEACHER","SRY","RT","A","2020",9.155,
"BEL","STUDPERTEACHER","PRY","RT","A","2013",12.672,
"BEL","STUDPERTEACHER","PRY","RT","A","2014",12.723,
"BEL","STUDPERTEACHER","PRY","RT","A","2015",12.784,
"BEL","STUDPERTEACHER","PRY","RT","A","2016",12.832,
"BEL","STUDPERTEACHER","PRY","RT","A","2017",12.895,
"BEL","STUDPERTEACHER","PRY","RT","A","2018",12.815,
"BEL","STUDPERTEACHER","PRY","RT","A","2019",12.657,
"BEL","STUDPERTEACHER","PRY","RT","A","2020",12.458,
"BEL","STUDPERTEACHER","TRY","RT","A","2013",21.01,
"BEL","STUDPERTEACHER","TRY","RT","A","2014",22.456,
"BEL","STUDPERTEACHER","TRY","RT","A","2015",22.078,
"BEL","STUDPERTEACHER","TRY","RT","A","2016",21.219,
"BEL","STUDPERTEACHER","TRY","RT","A","2017",21.168,
"BEL","STUDPERTEACHER","TRY","RT","A","2018",20.973,
"BEL","STUDPERTEACHER","TRY","RT","A","2019",21.365,
"BEL","STUDPERTEACHER","TRY","RT","A","2020",21.444,
"BEL","STUDPERTEACHER","SRY","RT","A","2013",9.67,
"BEL","STUDPERTEACHER","SRY","RT","A","2014",9.666,
"BEL","STUDPERTEACHER","SRY","RT","A","2015",9.606,
"BEL","STUDPERTEACHER","SRY","RT","A","2016",9.514,
"BEL","STUDPERTEACHER","SRY","RT","A","2017",9.419,
"BEL","STUDPERTEACHER","SRY","RT","A","2018",9.352,
"BEL","STUDPERTEACHER","SRY","RT","A","2019",9.293,
"BEL","STUDPERTEACHER","SRY","RT","A","2020",9.164,
"CAN","STUDPERTEACHER","PRY","RT","A","2012",14.027,
"CAN","STUDPERTEACHER","PRY","RT","A","2013",16.477,
"CAN","STUDPERTEACHER","PRY","RT","A","2014",16.57,
"CAN","STUDPERTEACHER","PRY","RT","A","2015",16.978,
"CAN","STUDPERTEACHER","PRY","RT","A","2016",16.855,
"CAN","STUDPERTEACHER","PRY","RT","A","2017",16.225,
"CAN","STUDPERTEACHER","PRY","RT","A","2018",16.691,
"CAN","STUDPERTEACHER","PRY","RT","A","2019",16.433,
"CAN","STUDPERTEACHER","PRY","RT","A","2020",16.349,
"CZE","STUDPERTEACHER","PRY","RT","A","2013",18.788,
"CZE","STUDPERTEACHER","PRY","RT","A","2014",18.677,
"CZE","STUDPERTEACHER","PRY","RT","A","2015",18.974,
"CZE","STUDPERTEACHER","PRY","RT","A","2016",19.149,
"CZE","STUDPERTEACHER","PRY","RT","A","2017",19.138,
"CZE","STUDPERTEACHER","PRY","RT","A","2018",19.198,
"CZE","STUDPERTEACHER","PRY","RT","A","2019",18.733,
