Session;Académie;Sexe;Statut du candidat;Voie;Série;Diplôme spécialité;Nombre d'inscrits;Nombre de présents;Nombre d'admis au 1er groupe;Nombre de refusés au 1er groupe;Nombre d'ajournés, passant les épreuves du 2nd groupe;Nombre d'admis à l'issue du 2nd groupe;Nombre de refusés à l'issue du 2nd groupe;Nombre d'admis totaux;Nombre d'admis avec mention TB avec les félicitations du jury;Nombre d'admis avec mention TB sans les félicitations du jury;Nombre d'admis avec mention B;Nombre d'admis avec mention AB;Nombre d'admis sans mention;Nombre de refusés totaux
2021;AIX-MARSEILLE;FILLES;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 22106 CUISINE;13.0;12.0;8.0;3.0;1.0;0.0;1.0;8.0;0.0;0.0;2.0;3.0;3.0;4.0
2021;AIX-MARSEILLE;FILLES;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25106 TECHNICIEN D'USINAGE;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
2021;AIX-MARSEILLE;FILLES;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PRODUCTION MEN;BAC PRO 25510 METIERS ELECT. ENVIRON. CONNECTES;2.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
2021;AIX-MARSEILLE;FILLES;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 31106 LOGISTIQUE;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
2021;AIX-MARSEILLE;FILLES;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 31202 COMMERCE;56.0;55.0;47.0;5.0;3.0;1.0;2.0;48.0;0.0;2.0;13.0;18.0;15.0;7.0
2021;AIX-MARSEILLE;FILLES;ENSEIGNEMENT A DISTANCE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 30001 GESTION-ADMINISTRATION;4.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2021;AIX-MARSEILLE;FILLES;ENSEIGNEMENT A DISTANCE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 33004 ACC.SOINS-S.PERS. OPT.EN STRUCTUR;5.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
2021;AIX-MARSEILLE;FILLES;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 30001 GESTION-ADMINISTRATION;29.0;26.0;24.0;1.0;1.0;1.0;0.0;25.0;0.0;0.0;5.0;11.0;9.0;1.0
2021;AIX-MARSEILLE;FILLES;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 31202 COMMERCE;11.0;9.0;6.0;1.0;2.0;2.0;0.0;8.0;0.0;2.0;2.0;0.0;4.0;1.0
2021;AIX-MARSEILLE;FILLES;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO SERVICES MEN;BAC PRO 31210 ACCUEIL -RELATION CLIENTS USAGERS;19.0;19.0;15.0;4.0;0.0;0.0;0.0;15.0;0.0;1.0;3.0;6.0;5.0;4.0
2021;AIX-MARSEILLE;FILLES;INDIVIDUEL;BAC GENERAL;GENERALE;BAC GENE 10019 BAC GENERAL;130.0;90.0;61.0;21.0;8.0;8.0;0.0;69.0;0.0;10.0;12.0;12.0;35.0;21.0
2021;AIX-MARSEILLE;FILLES;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO PRODUCTION AGRI;BAC PRO AG 21114 CONDUITE PRODUCTIONS HORTICOLES;4.0;4.0;3.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;1.0
