"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",17.279,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",21.247,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",19.829,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",18.295,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",17.97,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",18.309,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",15.469,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",17.487,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",21.478,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",26.503,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",28.375,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",25.995,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",13.944,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",13.18,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",13.939,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",16.759,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",15.47,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",15.891,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",16.349,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",17.186,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",17.494,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",17.641,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",17.977,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2005",5.783,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2010",7.464,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2011",8.358,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",9.162,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",9.979,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",11.195,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",11.19,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",12.022,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2017",8.653,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2018",10.454,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2019",10.043,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2020",10.376,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2012",10.047,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",9.723,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",9.508,
