"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2010",71.775,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2013",62.342,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2014",69.361,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2015",68.371,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2016",63.336,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",65.957,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",65.068,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",65.877,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2020",64.954,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2005",52.528,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2010",51.378,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2011",67.337,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2012",75.611,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2013",81.989,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2014",85.164,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2015",90.499,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2016",90.769,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2017",86.431,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2018",87.25,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2019",84.264,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2020",82.27,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2005",90.34,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2010",98.699,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2011",97.016,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2012",100,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2013",100,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2014",100,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2015",100,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2016",100,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2017",99.255,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2018",99.99,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2019",99.659,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2020",96.996,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2005",50.924,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2010",66.388,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2011",68.719,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2012",70.075,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2013",71.35,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2014",72.884,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2015",74.821,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2016",75.783,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",76.462,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",77.28,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",77.815,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2020",77.851,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2005",82.61,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2010",89.93,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2011",92.027,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2012",91.252,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2013",91.356,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2014",91.874,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2015",92.517,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2016",92.722,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2017",93.477,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2018",93.94,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2019",93.998,
"AUT","ENROLMENT_ECE","AGE_4","PC_AGE","A","2020",93.928,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2005",92.916,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2010",95.508,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2011",97.455,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2012",96.722,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2013",96.521,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2014",96.018,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2015",97.09,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2016",96.995,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2017",97.835,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2018",98.037,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2019",98.009,
"AUT","ENROLMENT_ECE","AGE_5","PC_AGE","A","2020",97.745,
"BEL","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",98.616,
"BEL","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",98.488,
"BEL","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",97.867,
"BEL","ENROLMENT_ECE","AGE_4","PC_AGE","A","2016",98.325,
"BEL","ENROLMENT_ECE","AGE_4","PC_AGE","A","2017",98.634,
"BEL","ENROLMENT_ECE","AGE_4","PC_AGE","A","2018",98.303,
"BEL","ENROLMENT_ECE","AGE_4","PC_AGE","A","2019",98.272,
"BEL","ENROLMENT_ECE","AGE_5","PC_AGE","A","2016",98.249,
"BEL","ENROLMENT_ECE","AGE_5","PC_AGE","A","2017",98.681,
"BEL","ENROLMENT_ECE","AGE_5","PC_AGE","A","2018",98.681,
"BEL","ENROLMENT_ECE","AGE_5","PC_AGE","A","2019",98.637,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2005",65.604,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2010",59.631,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2011",58.511,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2012",58.67,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2013",58.931,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2014",68.397,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2015",77.258,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2016",78.005,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2017",79.099,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2018",77.408,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2019",77.633,
"CZE","ENROLMENT_ECE","AGE_3","PC_AGE","A","2020",76.966,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2005",91.412,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2010",85.735,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2011",83.697,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2012",82.314,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2013",82.669,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2014",83.643,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2015",85.299,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2016",90.524,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2017",88.379,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2018",89.06,
"CZE","ENROLMENT_ECE","AGE_4","PC_AGE","A","2019",87.082,
